epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.23076,1.85026,4.38411,1.36159,0.00728,0.72917,0.02311,0.01601,1.46307,3.8941,0.96764,0.00015719,0.00015719,0.00015719
2,7.86807,1.90718,3.0818,1.23224,0.00549,0.52083,0.14209,0.08546,1.49664,3.72856,0.95436,0.000325416,0.000325416,0.000325416
3,9.46142,1.74364,2.62208,1.17731,0.00555,0.55208,0.19953,0.1065,1.49955,3.62576,0.96731,0.000490247,0.000490247,0.000490247
4,11.076,1.62716,2.09548,1.18225,0.00898,0.88542,0.21279,0.14194,1.5616,3.47401,0.98898,0.000651683,0.000651683,0.000651683
5,12.6487,1.70774,1.89437,1.21689,0.00884,0.875,0.48815,0.30215,1.63645,3.23147,1.04309,0.000809723,0.000809723,0.000809723
6,14.1768,1.55517,1.68096,1.14677,1,0.34796,0.57831,0.32993,1.54899,2.91299,1.04559,0.000964368,0.000964368,0.000964368
7,15.7953,1.60343,1.61383,1.16542,1,0.12367,0.71751,0.36545,1.71011,2.79532,1.07214,0.00111562,0.00111562,0.00111562
8,17.4566,1.62172,1.72588,1.17302,0.9888,0.43755,0.81527,0.43453,1.59794,2.29476,1.0613,0.00126347,0.00126347,0.00126347
9,19.0425,1.5391,1.52762,1.12244,0.90258,0.51711,0.82576,0.42117,1.61975,2.13218,1.10046,0.00131582,0.00131582,0.00131582
10,20.5722,1.56248,1.474,1.16344,0.98955,0.84953,0.96171,0.47055,1.6097,1.6837,1.10715,0.00130168,0.00130168,0.00130168
11,22.1835,1.49413,1.40343,1.13281,0.88643,0.72985,0.90067,0.46121,1.63203,1.66531,1.08066,0.00128753,0.00128753,0.00128753
12,23.7798,1.47357,1.34956,1.10968,0.91076,0.83006,0.91584,0.46961,1.55872,1.58576,1.06476,0.00127338,0.00127338,0.00127338
13,26.3053,1.4804,1.29314,1.10469,0.87911,0.89862,0.935,0.49267,1.59149,1.37954,1.09045,0.00125923,0.00125923,0.00125923
14,28.7382,1.43164,1.20262,1.10936,0.80515,0.84498,0.87626,0.46836,1.58766,1.39539,1.09052,0.00124509,0.00124509,0.00124509
15,30.5843,1.41929,1.25128,1.11943,0.90587,0.82083,0.9236,0.46561,1.59704,1.21456,1.12345,0.00123094,0.00123094,0.00123094
16,32.6103,1.47502,1.22104,1.11133,0.9209,0.89583,0.93973,0.48847,1.54947,1.14404,1.10399,0.00121679,0.00121679,0.00121679
17,34.4696,1.44941,1.15404,1.10108,0.93561,0.93126,0.96199,0.49483,1.55251,1.01808,1.07183,0.00120265,0.00120265,0.00120265
18,36.3619,1.40506,1.14811,1.10494,0.88693,0.94258,0.94967,0.47417,1.56505,1.0047,1.10235,0.0011885,0.0011885,0.0011885
19,38.265,1.41128,1.09068,1.09289,0.96782,0.96692,0.98808,0.51751,1.50256,0.95033,1.06002,0.00117435,0.00117435,0.00117435
20,40.1806,1.34077,1.09075,1.08396,0.99347,0.95639,0.99047,0.515,1.59722,0.92322,1.11307,0.00116021,0.00116021,0.00116021
21,42.0625,1.3614,1.05658,1.07731,0.95551,0.92708,0.97808,0.50622,1.60458,1.02718,1.09342,0.00114606,0.00114606,0.00114606
22,43.9669,1.34723,1.05684,1.06948,0.95455,0.93151,0.95723,0.51075,1.5111,0.89516,1.05921,0.00113191,0.00113191,0.00113191
23,45.8337,1.33901,0.98879,1.05941,0.96746,0.96024,0.97498,0.51074,1.52788,0.88913,1.04738,0.00111776,0.00111776,0.00111776
24,47.6766,1.38877,0.99852,1.08855,0.93351,0.96061,0.96863,0.49546,1.55652,0.86443,1.07126,0.00110362,0.00110362,0.00110362
25,49.4963,1.29221,0.94135,1.04538,0.95518,0.93663,0.96029,0.51714,1.5675,0.94938,1.07382,0.00108947,0.00108947,0.00108947
26,51.2928,1.30527,0.92951,1.04744,0.96271,0.91667,0.9476,0.49278,1.52719,0.87594,1.05577,0.00107532,0.00107532,0.00107532
27,53.1132,1.27182,0.94636,1.06839,0.95608,0.92292,0.96862,0.51249,1.53109,0.89118,1.05887,0.00106118,0.00106118,0.00106118
28,54.9953,1.20186,0.87807,1.02493,0.97972,0.95841,0.98935,0.52707,1.57273,0.88444,1.09238,0.00104703,0.00104703,0.00104703
29,56.9361,1.32306,0.91996,1.09007,0.92875,0.94342,0.96099,0.51009,1.53597,0.87623,1.05069,0.00103288,0.00103288,0.00103288
30,58.8426,1.3059,0.87126,1.04725,0.92062,0.95833,0.96463,0.52135,1.54175,0.82169,1.07862,0.00101873,0.00101873,0.00101873
