epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.4677,1.31152,7.27103,0.00377,0.00159,0.20425,0.05034,0.02684,1.33208,6.01502,0.00382,0.000466199,0.000466199,0.000466199
2,44.6032,1.16621,5.48412,0.00327,0.9321,0.12221,0.5284,0.34526,1.25054,4.43705,0.00379,0.000933201,0.000933201,0.000933201
3,53.2348,1.14616,4.02889,0.00319,0.63888,0.57618,0.67304,0.44691,1.19964,2.92946,0.00377,0.00139077,0.00139077,0.00139077
4,61.9992,1.0382,3.19205,0.00293,0.67672,0.70746,0.76931,0.50171,1.22485,2.09052,0.00398,0.00138656,0.00138656,0.00138656
5,72.0019,1.02013,2.54696,0.00294,0.74667,0.77574,0.84596,0.55341,1.17733,1.65363,0.00368,0.00137241,0.00137241,0.00137241
6,81.2951,0.93667,1.99767,0.00274,0.77222,0.75089,0.84193,0.54986,1.17881,1.47038,0.00377,0.00135826,0.00135826,0.00135826
7,89.8677,0.91797,1.63138,0.00263,0.78175,0.78464,0.8714,0.57148,1.18437,1.27834,0.00366,0.00134412,0.00134412,0.00134412
8,98.7229,0.88796,1.38836,0.00248,0.82931,0.73761,0.85979,0.57625,1.15524,1.10496,0.00364,0.00132997,0.00132997,0.00132997
9,107.601,0.88902,1.19319,0.00262,0.83275,0.81827,0.88651,0.58899,1.10712,1.02642,0.00351,0.00131582,0.00131582,0.00131582
10,116.925,0.88355,1.09464,0.00257,0.78263,0.79935,0.88862,0.57601,1.12748,1.02328,0.00352,0.00130168,0.00130168,0.00130168
11,125.846,0.92796,1.00126,0.00261,0.82467,0.77907,0.87789,0.59943,1.10059,0.94744,0.00336,0.00128753,0.00128753,0.00128753
12,135.153,0.87989,0.89193,0.00255,0.81038,0.85144,0.89801,0.60849,1.08389,0.86313,0.00327,0.00127338,0.00127338,0.00127338
13,144.418,0.88683,0.86103,0.00262,0.78335,0.85196,0.89782,0.62236,1.0719,0.79648,0.0034,0.00125923,0.00125923,0.00125923
14,153.729,0.85928,0.75853,0.00248,0.89234,0.80193,0.91688,0.62247,1.10839,0.72792,0.00344,0.00124509,0.00124509,0.00124509
15,162.814,0.83876,0.70345,0.00239,0.8666,0.81429,0.89927,0.61204,1.10095,0.7943,0.00347,0.00123094,0.00123094,0.00123094
16,171.268,0.76641,0.65598,0.0021,0.86309,0.80726,0.91264,0.62082,1.05836,0.70482,0.00337,0.00121679,0.00121679,0.00121679
17,180.056,0.79389,0.64808,0.00237,0.88713,0.85404,0.93494,0.65282,1.03278,0.63877,0.00314,0.00120265,0.00120265,0.00120265
18,188.485,0.77662,0.59398,0.0023,0.88558,0.85461,0.92918,0.63695,1.04705,0.63074,0.00327,0.0011885,0.0011885,0.0011885
19,196.834,0.76331,0.58251,0.00219,0.86691,0.83451,0.92613,0.64923,1.04419,0.60943,0.0033,0.00117435,0.00117435,0.00117435
20,205.452,0.78558,0.5733,0.00226,0.91977,0.82537,0.93654,0.65214,0.99886,0.58438,0.00317,0.00116021,0.00116021,0.00116021
21,213.819,0.78282,0.55088,0.00227,0.88638,0.83828,0.92407,0.64176,1.03381,0.60808,0.00335,0.00114606,0.00114606,0.00114606
22,222.486,0.76968,0.55874,0.00232,0.89048,0.78318,0.90984,0.62045,1.05062,0.65169,0.00343,0.00113191,0.00113191,0.00113191
23,231.492,0.7449,0.50426,0.00202,0.8781,0.86153,0.93914,0.66543,0.96328,0.56882,0.00302,0.00111776,0.00111776,0.00111776
24,239.82,0.7663,0.50657,0.00221,0.92168,0.79928,0.93404,0.66264,1.04074,0.55591,0.00334,0.00110362,0.00110362,0.00110362
25,248.286,0.72821,0.48648,0.00208,0.88427,0.81261,0.91537,0.65072,1.00017,0.63159,0.00315,0.00108947,0.00108947,0.00108947
26,256.567,0.77021,0.48875,0.00228,0.89395,0.86024,0.93751,0.66449,1.00049,0.5348,0.00316,0.00107532,0.00107532,0.00107532
27,264.431,0.75699,0.49016,0.00226,0.86612,0.88487,0.95263,0.6782,0.98943,0.49631,0.00314,0.00106118,0.00106118,0.00106118
28,272.137,0.75485,0.47214,0.00211,0.8699,0.85463,0.92749,0.65229,1.01438,0.56407,0.00322,0.00104703,0.00104703,0.00104703
29,279.806,0.75166,0.46491,0.00215,0.87878,0.88397,0.93318,0.64817,1.05511,0.53245,0.00338,0.00103288,0.00103288,0.00103288
30,287.611,0.72661,0.45222,0.0022,0.89936,0.90889,0.9579,0.66742,1.02563,0.49076,0.00326,0.00101873,0.00101873,0.00101873
31,295.357,0.74381,0.42239,0.00214,0.84155,0.9152,0.93646,0.66094,1.00699,0.53093,0.00322,0.00100459,0.00100459,0.00100459
32,303.173,0.71653,0.39105,0.00209,0.86884,0.89494,0.94749,0.68167,0.97303,0.4664,0.0031,0.00099044,0.00099044,0.00099044
33,311.219,0.75232,0.39812,0.00212,0.89191,0.88861,0.93421,0.65424,0.99146,0.53448,0.00313,0.000976293,0.000976293,0.000976293
34,319.039,0.71439,0.39408,0.0021,0.95212,0.85276,0.9513,0.68527,0.99509,0.47795,0.00312,0.000962146,0.000962146,0.000962146
35,326.843,0.70813,0.41307,0.00208,0.8638,0.88819,0.93697,0.67898,0.98914,0.50078,0.00308,0.000947999,0.000947999,0.000947999
36,334.906,0.70575,0.40102,0.00206,0.87771,0.8735,0.93,0.68153,0.96612,0.53226,0.00301,0.000933851,0.000933851,0.000933851
37,343.07,0.67835,0.37258,0.00199,0.903,0.87279,0.94136,0.68605,0.96007,0.46747,0.00298,0.000919704,0.000919704,0.000919704
38,351.285,0.69787,0.37187,0.00191,0.8857,0.91337,0.9528,0.67445,0.98946,0.46225,0.00314,0.000905557,0.000905557,0.000905557
39,359.501,0.66912,0.39203,0.00191,0.91702,0.90221,0.95533,0.68166,0.9696,0.46933,0.0031,0.00089141,0.00089141,0.00089141
40,367.647,0.66345,0.36748,0.00187,0.92956,0.86848,0.94452,0.66162,0.98962,0.52239,0.00313,0.000877263,0.000877263,0.000877263
41,376.504,0.68338,0.35779,0.00193,0.9196,0.88058,0.95168,0.68394,0.98204,0.47376,0.00314,0.000863116,0.000863116,0.000863116
42,385.01,0.69028,0.37001,0.00199,0.93494,0.88483,0.95821,0.69207,0.99428,0.45321,0.00316,0.000848969,0.000848969,0.000848969
43,393.162,0.66056,0.33153,0.00185,0.91876,0.92929,0.96459,0.6997,0.95144,0.42272,0.00306,0.000834822,0.000834822,0.000834822
44,401.161,0.63641,0.33992,0.00177,0.90963,0.8764,0.95166,0.68851,0.98472,0.45436,0.00311,0.000820675,0.000820675,0.000820675
45,409.283,0.61607,0.32828,0.00174,0.91382,0.90364,0.96209,0.6974,0.95294,0.43349,0.00303,0.000806528,0.000806528,0.000806528
46,417.335,0.64633,0.34196,0.00188,0.94184,0.84779,0.95702,0.6872,0.98542,0.48415,0.00306,0.00079238,0.00079238,0.00079238
47,425.314,0.65525,0.34016,0.00187,0.96296,0.88783,0.95872,0.6757,1.00541,0.43492,0.00331,0.000778233,0.000778233,0.000778233
48,433.315,0.63597,0.31722,0.0017,0.97121,0.89032,0.96259,0.70286,0.94483,0.40225,0.00303,0.000764086,0.000764086,0.000764086
49,441.486,0.64235,0.32061,0.00169,0.90786,0.87799,0.95189,0.67355,0.98719,0.47841,0.00322,0.000749939,0.000749939,0.000749939
50,449.436,0.65072,0.35917,0.00188,0.91281,0.91897,0.95665,0.68617,0.96956,0.44848,0.0031,0.000735792,0.000735792,0.000735792
51,457.099,0.65132,0.32296,0.00177,0.91844,0.91487,0.9552,0.68946,0.96758,0.4364,0.00309,0.000721645,0.000721645,0.000721645
52,464.833,0.63404,0.31583,0.0017,0.90952,0.91025,0.95446,0.68976,0.98342,0.43883,0.00316,0.000707498,0.000707498,0.000707498
53,472.5,0.65804,0.3187,0.00183,0.92183,0.8719,0.9413,0.68291,0.95998,0.50878,0.00308,0.000693351,0.000693351,0.000693351
54,480.303,0.59861,0.28807,0.00167,0.92065,0.8944,0.96363,0.68875,0.99117,0.42681,0.0032,0.000679204,0.000679204,0.000679204
55,487.985,0.63646,0.32954,0.00176,0.92529,0.93852,0.96704,0.7028,0.96387,0.41033,0.00312,0.000665057,0.000665057,0.000665057
56,495.683,0.59188,0.28884,0.00165,0.94007,0.91559,0.96827,0.70511,0.9358,0.38564,0.003,0.000650909,0.000650909,0.000650909
57,503.505,0.61959,0.29139,0.00175,0.97162,0.87683,0.96001,0.70906,0.9417,0.38538,0.00303,0.000636762,0.000636762,0.000636762
58,511.283,0.60689,0.29793,0.0016,0.93662,0.89495,0.96203,0.70034,0.94493,0.39384,0.00302,0.000622615,0.000622615,0.000622615
59,519.03,0.6143,0.30897,0.00167,0.97279,0.88371,0.95729,0.69758,0.95207,0.41943,0.00305,0.000608468,0.000608468,0.000608468
60,526.868,0.57816,0.31901,0.00159,0.94744,0.92258,0.96356,0.69922,0.95024,0.40198,0.00307,0.000594321,0.000594321,0.000594321
61,534.663,0.55717,0.28317,0.0015,0.93159,0.91997,0.95517,0.69949,0.95159,0.41193,0.003,0.000580174,0.000580174,0.000580174
62,542.424,0.59503,0.29655,0.0017,0.9293,0.92452,0.95502,0.69327,0.97456,0.42571,0.00311,0.000566027,0.000566027,0.000566027
63,550.083,0.59235,0.27378,0.0016,0.94256,0.90903,0.95886,0.69392,0.98532,0.41431,0.00315,0.00055188,0.00055188,0.00055188
64,557.751,0.60283,0.27249,0.00166,0.96746,0.90357,0.95844,0.70277,0.9645,0.4152,0.00307,0.000537733,0.000537733,0.000537733
65,565.673,0.5992,0.2882,0.00167,0.9413,0.93008,0.96529,0.69475,0.96234,0.4074,0.00309,0.000523586,0.000523586,0.000523586
